Bulgarian Lev,ბულგარული ლევი,BGN,1
Danish Krone,დანიური კრონი,DKK,10
Euro,ევრო,EUR,1
Pound Sterling,დიდი ბრიტანეთის გირვანქა სტერლინგი,GBP,1
Iceland Krona,ისლანდიური კრონი,ISK,100
Serbian Dinar,სერბიული დინარი,RSD,100
Norwegian Krone,ნორვეგიული კრონი,NOK,10
Polish Zloty,პოლონური ზლოტი,PLN,10
Romanian Leu,რუმინული ლეი,RON,10
Hungarian Forint,უნგრული ფორინტი,HUF,100
Swedish Krona,შვედური კრონი,SEK,10
Swiss Franc,შვეიცარიული ფრანკი,CHF,1
Czech Koruna,ჩეხური კრონა,CZK,10
US Dollar,აშშ დოლარი,USD,1
Canadian Dollar,კანადური დოლარი,CAD,1
Australian Dollar,ავსტრალიური დოლარი,AUD,1
Egyptian Pound,ეგვიპტური გირვანქა,EGP,10
Turkish Lira,თურქული ლირა,TRY,1
Japanese Yen,იაპონური იენი,JPY,100
UAE Dirham,არაბეთის გაერთიანებული საამიროების დირჰამი,AED,10
Iranian Rial,ირანული რიალი,IRR,10000
Israeli Sheqel,ისრაელის შეკელი,ILS,10
Singapore Dollar,სინგაპურული დოლარი,SGD,1
Kuwaiti Dinar,ქუვეითური დინარი,KWD,1
Chinese Yuan Renminbi,ჩინური იუანი,CNY,10
Hon-kong Dollar,ჰონკონგური დოლარი,HKD,10
Indian Rupee,ინდური რუპია,INR,100
New Zealand Dollar,ახალზელანდიური დოლარი,NZD,1
Russian Ruble,რუსული რუბლი,RUB,100
Azerbaijanian Manat,აზერბაიჯანული მანათი,AZN,1
Byelarussian Ruble,ბელარუსული რუბლი,BYR,10000
Turkmenistan Manat,თურქმენული მანათი,TMT,10
Moldovan Leu,მოლდოვური ლეი,MDL,10
Armenian Dram,სომხური დრამი,AMD,1000
Tajikistan Somoni,ტაჯიკური სომონი,TJS,10
Uzbekistan Sum,უზბეკური სუმი,UZS,1000
Ukrainian Hryvnia,უკრაინული გრივნა,UAH,10
Kazakhstan Tenge,ყაზახური ტენგე,KZT,100
Kirghizstan Som,ყირგიზული სომი,KGS,100
South African Rand,სამხრეთ აფრიკული რანდი,ZAR,10
Brazilian Real,ბრაზილიური რიალი,BRL,1
Qatari Rial,კატარული რიალი,QAR,10
South Korean Won,სამხრეთ კორეული ვონი,KRW,1000
Lithuanian Litas,ლიტვური ლიტი,LTL,10
