Line #,Key,en Version,ka Translation,
1,ka.activerecord.models.user,User,მომხმარებელი,
2,ka.activerecord.models.page_content,Text for Pages,ტექსტი გვერდებისთვის,
3,ka.activerecord.models.bank,Bank,ბანკი,
4,ka.activerecord.models.api_version,API Version,API-ს ვერსია,
5,ka.activerecord.models.api_method,API Method,API-ს მეთოდი, 
6,ka.activerecord.attributes.user.email,Email Address,ელ. ფოსტა,
7,ka.activerecord.attributes.user.password,Password,პაროლი,
8,ka.activerecord.attributes.user.password_confirmation,Password Confirmation,გაიმეორეთ პაროლი,
9,ka.activerecord.attributes.user.role,Role,როლი,
10,ka.activerecord.attributes.user.remember_me,Remeber Me,დამიმახსოვრე,
11,ka.activerecord.attributes.user.nickname,Nickname,მომხმარებლის სახელი, 
12,ka.activerecord.attributes.user.sign_in_count,Number of Times Logged In,შემოსვლის რაოდენობა,
13,ka.activerecord.attributes.user.created_at,Date Created,შექმნის თარიღი,
14,ka.activerecord.attributes.user.current_sign_in_at,Date Last Logged In,ბოლო შემოსვლის თარიღი,
15,ka.activerecord.attributes.page_content.name,Unique name for content (do not change!),კონტენტის უნიკალური სახელი (არ შეცვალოთ!),
16,ka.activerecord.attributes.page_content_translation.title,Title to show above content,"სათაური, რომელიც გამოჩნდება კონტენტის ზემოთ",
17,ka.activerecord.attributes.page_content_translation.content,Content,კონტენტი,
18,ka.activerecord.attributes.bank.code,Bank Code,ბანკის კოდი,
19,ka.activerecord.attributes.bank.sell_color,Sell Color,გაყიდვის ფერი,
20,ka.activerecord.attributes.bank.buy_color,Buy Color,ყიდვის ფერი,
21,ka.activerecord.attributes.bank.order,Sort Order,დალაგება,
22,ka.activerecord.attributes.bank_translation.name,Bank Name,ბანკის სახელი,
23,ka.activerecord.attributes.bank_translation.image,Image Name,გამოსახულების სახელი,
24,ka.activerecord.attributes.api_version.permalink,Permalink,Permalink,
25,ka.activerecord.attributes.api_version.public,Make Available to the Public,საჯაროდ ხელმისაწვდომი,
26,ka.activerecord.attributes.api_version.public_at,Released At,გამოქვეყნებულია,
27,ka.activerecord.attributes.api_version.updated_at,Last Updated At,ბოლოს განახლდა,
28,ka.activerecord.attributes.api_version.methods,Methods,მეთოდები,
29,ka.activerecord.attributes.api_version_translation.title,Title,დასახელება,
30,ka.activerecord.attributes.api_method.permalink,Permalink,Permalink,
31,ka.activerecord.attributes.api_method.public,Make Available to the Public,საჯაროდ ხელმისაწვდომი,
32,ka.activerecord.attributes.api_method.public_at,Released At,გამოქვეყნებულია,
33,ka.activerecord.attributes.api_method.updated_at,Last Updated At,ბოლოს განახლდა,
34,ka.activerecord.attributes.api_method.sort_order,Sort Order,დალაგება,
35,ka.activerecord.attributes.api_method_translation.title,Title,დასახელება,
36,ka.activerecord.attributes.api_method_translation.content,Content,შინაარსი,
37,ka.activerecord.errors.messages.required_field,is a required field.,სავალდებულო ველი,
38,ka.activerecord.errors.messages.already_exists,already exists in the database.,უკვე არსებობს მონაცემთა ბაზაში,
39,ka.mailer.closing,"Sincerely,","პატივისცემით,",
40,ka.mailer.signature,JumpStart Georgia,“ჯამპსტარტ ჯორჯია”,
41,ka.mailer.unsubscribe,Click here to change your notification settings,დააჭირეთ და შეცვალეთ შეტყობინებების პარამეტრები,
42,ka.helpers.actions,Actions,აირჩიეთ,
43,ka.helpers.links.admin,Admin,ადმინისტრატორი,
44,ka.helpers.links.edit,Edit,შეცვლა,
45,ka.helpers.links.confirm,Are you sure?,დარწმუნებული ხართ?,
46,ka.helpers.links.destroy,Delete,წაშლა,
47,ka.helpers.links.new,New,ახალი,
48,ka.helpers.links.list,View All,ყველას ნახვა,
49,ka.helpers.links.back,View All,ყველას ნახვა,
50,ka.helpers.links.cancel,Cancel,გაუქმება,
51,ka.helpers.links.reset,Reset,საწყის კონფიგურაციაზე დაბრუნება,
52,ka.helpers.links.view,View,ნახვა,
53,ka.helpers.links.sign_in_facebook,Sign in with Facebook,Facebook-ით შესვლა,
54,ka.helpers.links.forgot_password,Forgot Password?,დაგავიწყდათ პაროლი?,
